n_regimes,use_pca,pca_variance,return_periods,vol_windows,silhouette,sharpe,combined_score
2,True,0.9,"[1, 5, 21]","[21, 63]",0.276,4.2092,0.8395
2,True,0.95,"[1, 5, 21]","[21, 63]",0.2615,4.1837,0.828
2,False,N/A,"[1, 5, 21]","[21, 63]",0.2505,4.168,0.8199
3,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.2498,3.8359,0.7642
3,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.2333,3.8438,0.7573
2,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.2809,3.6115,0.7424
3,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.2179,3.7908,0.7407
2,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.2693,3.6206,0.7381
2,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.2558,3.6451,0.7354
4,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.2042,3.7964,0.7348
4,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.1856,3.7785,0.7226
4,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.1904,3.7562,0.7212
4,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.1717,3.8062,0.7202
4,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.1657,3.7607,0.7096
4,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.18,3.6773,0.7029
3,True,0.9,"[1, 5, 21]","[21, 63]",0.2696,3.3476,0.6927
3,True,0.95,"[1, 5, 21]","[21, 63]",0.2546,3.3424,0.6844
4,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.1962,3.5043,0.6822
3,False,N/A,"[1, 5, 21]","[21, 63]",0.2408,3.3469,0.6782
4,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.1816,3.5083,0.6755
4,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.168,3.5112,0.6692
2,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.3011,3.0574,0.6601
2,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.2722,3.1201,0.6561
3,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.2683,3.1282,0.6555
2,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.2855,3.0569,0.6522
3,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.2548,3.1326,0.6495
3,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.2401,3.1193,0.64
2,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.3105,2.8652,0.6328
2,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.297,2.858,0.6248
2,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.2841,2.849,0.6169
3,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.2658,2.6947,0.582
4,True,0.9,"[1, 5, 21]","[21, 63]",0.2246,2.7619,0.5726
3,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.2467,2.6689,0.5682
4,False,N/A,"[1, 5, 21]","[21, 63]",0.1681,2.882,0.5644
4,True,0.95,"[1, 5, 21]","[21, 63]",0.2092,2.7582,0.5643
3,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.2319,2.6711,0.5611
5,True,0.9,"[1, 5, 21]","[21, 63]",0.1997,2.1077,0.4511
5,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.1717,2.1836,0.4498
5,True,0.95,"[1, 5, 21]","[21, 63]",0.1837,2.1165,0.4446
5,False,N/A,"[1, 5, 21]","[21, 63]",0.1693,2.1198,0.438
5,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.1873,1.9462,0.418
5,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.1604,1.9488,0.405
5,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.2116,1.3886,0.3372
5,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.194,1.4243,0.3344
5,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.1922,1.3908,0.3279
5,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.1795,1.4026,0.3235
5,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.1781,1.3698,0.3173
5,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.1655,1.4026,0.3165
