Date,regime,regime_name,weight,confidence
2020-01-02,2,Low-vol Rally,0.5,1.0
2020-01-03,0,Crisis,0.0,0.8192969217850468
2020-01-06,0,Crisis,0.0,0.9468750876446088
2020-01-07,0,Crisis,0.0,0.9345386863705815
2020-01-08,0,Crisis,0.0,0.9138481957753098
2020-01-09,4,High-vol Rally,0.5,0.7685868589988287
2020-01-10,4,High-vol Rally,0.5,0.9662248764311275
2020-01-13,4,High-vol Rally,0.5,0.9988783760060007
2020-01-14,4,High-vol Rally,0.5,0.9997618889923366
2020-01-15,4,High-vol Rally,0.5,0.9996053878074543
2020-01-16,4,High-vol Rally,0.5,0.9955304297171739
2020-01-17,4,High-vol Rally,0.5,0.9554241451611956
2020-01-20,2,Low-vol Rally,0.5,0.6399567645342675
2020-01-21,2,Low-vol Rally,0.5,0.7217774948057462
2020-01-22,2,Low-vol Rally,0.5,0.7317376165653154
2020-01-23,2,Low-vol Rally,0.5,0.6896351896340293
2020-01-24,2,Low-vol Rally,0.5,0.6449288280933976
2020-01-27,0,Crisis,0.0,0.9715070095650157
2020-01-28,0,Crisis,0.0,0.9964485413559804
2020-01-29,0,Crisis,0.0,0.9987070735052076
2020-01-30,0,Crisis,0.0,0.9999936811927458
2020-01-31,0,Crisis,0.0,0.9999928504404139
2020-02-03,0,Crisis,0.0,0.9999959262141817
2020-02-04,0,Crisis,0.0,0.9999972102271192
2020-02-05,0,Crisis,0.0,0.9999924121435949
2020-02-06,0,Crisis,0.0,0.9996575342080505
2020-02-07,0,Crisis,0.0,0.9997948996181387
2020-02-10,0,Crisis,0.0,0.9999511685954883
2020-02-11,0,Crisis,0.0,0.9999677006031067
2020-02-12,0,Crisis,0.0,0.9995300613112954
2020-02-13,0,Crisis,0.0,0.9984657026798183
2020-02-14,0,Crisis,0.0,0.9987233244670297
2020-02-17,0,Crisis,0.0,0.9990524134272861
2020-02-18,0,Crisis,0.0,0.9993549083334178
2020-02-19,0,Crisis,0.0,0.9919664693304842
2020-02-20,0,Crisis,0.0,0.991772000394177
2020-02-21,0,Crisis,0.0,0.9983118857461283
2020-02-24,0,Crisis,0.0,0.9999999757237678
2020-02-25,0,Crisis,0.0,0.9999906769878947
2020-02-26,0,Crisis,0.0,0.9999493965040663
2020-02-27,0,Crisis,0.0,0.999999624979025
2020-02-28,0,Crisis,0.0,0.999999999479769
2020-03-02,0,Crisis,0.0,0.9999990206529467
2020-03-03,0,Crisis,0.0,0.9999947929090067
2020-03-04,0,Crisis,0.0,0.9998843075362943
2020-03-05,0,Crisis,0.0,0.9999337887331406
2020-03-06,0,Crisis,0.0,0.9999315910507502
2020-03-09,0,Crisis,0.0,0.9999999714455048
2020-03-10,0,Crisis,0.0,0.9999782786502582
2020-03-11,0,Crisis,0.0,0.9999999665742513
2020-03-12,0,Crisis,0.0,0.999999999992724
2020-03-13,0,Crisis,0.0,1.0
2020-03-16,0,Crisis,0.0,0.9999999993597157
2020-03-17,0,Crisis,0.0,0.999999587831638
2020-03-18,0,Crisis,0.0,0.9941603170630918
2020-03-19,1,High-vol Rally,0.5,0.9999999978463165
2020-03-20,1,High-vol Rally,0.5,0.9999999983992893
2020-03-23,1,High-vol Rally,0.5,1.0
2020-03-24,1,High-vol Rally,0.5,1.0
2020-03-25,1,High-vol Rally,0.5,1.0
2020-03-26,1,High-vol Rally,0.5,1.0
2020-03-27,1,High-vol Rally,0.5,1.0
2020-03-30,1,High-vol Rally,0.5,1.0
2020-03-31,1,High-vol Rally,0.5,1.0
2020-04-01,1,High-vol Rally,0.5,1.0
2020-04-02,1,High-vol Rally,0.5,1.0
2020-04-03,1,High-vol Rally,0.5,1.0
2020-04-06,1,High-vol Rally,0.5,1.0
2020-04-07,1,High-vol Rally,0.5,1.0
2020-04-08,1,High-vol Rally,0.5,1.0
2020-04-09,1,High-vol Rally,0.5,1.0
2020-04-10,1,High-vol Rally,0.5,1.0
2020-04-13,1,High-vol Rally,0.5,1.0
2020-04-14,1,High-vol Rally,0.5,1.0
2020-04-15,1,High-vol Rally,0.5,1.0
2020-04-16,1,High-vol Rally,0.5,1.0
2020-04-17,1,High-vol Rally,0.5,1.0
2020-04-20,1,High-vol Rally,0.5,1.0
2020-04-21,1,High-vol Rally,0.5,1.0
2020-04-22,1,High-vol Rally,0.5,1.0
2020-04-23,1,High-vol Rally,0.5,1.0
2020-04-24,1,High-vol Rally,0.5,1.0
2020-04-27,1,High-vol Rally,0.5,1.0
2020-04-28,1,High-vol Rally,0.5,1.0
2020-04-29,1,High-vol Rally,0.5,1.0
2020-04-30,1,High-vol Rally,0.5,1.0
2020-05-01,1,High-vol Rally,0.5,1.0
2020-05-04,1,High-vol Rally,0.5,1.0
2020-05-05,1,High-vol Rally,0.5,1.0
2020-05-06,1,High-vol Rally,0.5,1.0
2020-05-07,1,High-vol Rally,0.5,1.0
2020-05-08,1,High-vol Rally,0.5,1.0
2020-05-11,1,High-vol Rally,0.5,1.0
2020-05-12,1,High-vol Rally,0.5,1.0
2020-05-13,1,High-vol Rally,0.5,1.0
2020-05-14,1,High-vol Rally,0.5,1.0
2020-05-15,1,High-vol Rally,0.5,1.0
2020-05-18,1,High-vol Rally,0.5,1.0
2020-05-19,1,High-vol Rally,0.5,1.0
2020-05-20,1,High-vol Rally,0.5,1.0
2020-05-21,1,High-vol Rally,0.5,1.0
2020-05-22,1,High-vol Rally,0.5,1.0
2020-05-25,1,High-vol Rally,0.5,1.0
2020-05-26,1,High-vol Rally,0.5,1.0
2020-05-27,1,High-vol Rally,0.5,1.0
2020-05-28,1,High-vol Rally,0.5,1.0
2020-05-29,1,High-vol Rally,0.5,1.0
2020-06-01,1,High-vol Rally,0.5,1.0
2020-06-02,1,High-vol Rally,0.5,1.0
2020-06-03,1,High-vol Rally,0.5,1.0
2020-06-04,1,High-vol Rally,0.5,1.0
2020-06-05,1,High-vol Rally,0.5,1.0
2020-06-08,1,High-vol Rally,0.5,1.0
2020-06-09,1,High-vol Rally,0.5,1.0
2020-06-10,1,High-vol Rally,0.5,1.0
2020-06-11,1,High-vol Rally,0.5,1.0
2020-06-12,1,High-vol Rally,0.5,1.0
2020-06-15,1,High-vol Rally,0.5,1.0
2020-06-16,1,High-vol Rally,0.5,1.0
2020-06-17,1,High-vol Rally,0.5,1.0
2020-06-18,1,High-vol Rally,0.5,1.0
2020-06-19,1,High-vol Rally,0.5,1.0
2020-06-22,1,High-vol Rally,0.5,1.0
2020-06-23,1,High-vol Rally,0.5,1.0
2020-06-24,1,High-vol Rally,0.5,1.0
2020-06-25,1,High-vol Rally,0.5,1.0
2020-06-26,1,High-vol Rally,0.5,1.0
2020-06-29,1,High-vol Rally,0.5,1.0
2020-06-30,1,High-vol Rally,0.5,1.0
2020-07-01,1,High-vol Rally,0.5,0.9999999999781721
2020-07-02,1,High-vol Rally,0.5,0.9999999999781721
2020-07-03,1,High-vol Rally,0.5,0.999999999996362
2020-07-06,1,High-vol Rally,0.5,0.999999999996362
2020-07-07,1,High-vol Rally,0.5,0.999999999996362
2020-07-08,1,High-vol Rally,0.5,0.999999999996362
2020-07-09,1,High-vol Rally,0.5,0.9999999999818101
2020-07-10,1,High-vol Rally,0.5,0.9999999980318535
2020-07-13,1,High-vol Rally,0.5,0.9999967131388433
2020-07-14,1,High-vol Rally,0.5,0.9375620300098181
2020-07-15,4,High-vol Rally,0.5,0.9741761318139894
2020-07-16,4,High-vol Rally,0.5,0.9964124068027854
2020-07-17,4,High-vol Rally,0.5,0.9998899685636718
2020-07-20,4,High-vol Rally,0.5,0.9995390916266068
2020-07-21,4,High-vol Rally,0.5,0.9979614488772647
2020-07-22,4,High-vol Rally,0.5,0.84702739207349
2020-07-23,4,High-vol Rally,0.5,0.7124816382666742
2020-07-24,4,High-vol Rally,0.5,0.49989319093412143
2020-07-27,0,Crisis,0.0,0.8244145303459357
2020-07-28,0,Crisis,0.0,0.9470763803994351
2020-07-29,0,Crisis,0.0,0.9790038883055138
2020-07-30,0,Crisis,0.0,0.9969395253039127
2020-07-31,0,Crisis,0.0,0.9993404055900298
