Date,regime,regime_name,weight,confidence
2020-01-02,5,Low-vol Rally,0.5,1.0
2020-01-03,1,Transition,0.5,0.9998653617736334
2020-01-06,1,Transition,0.5,0.999999913943615
2020-01-07,1,Transition,0.5,0.9999999327574209
2020-01-08,1,Transition,0.5,0.999999976855179
2020-01-09,1,Transition,0.5,0.999999999665306
2020-01-10,1,Transition,0.5,0.9999999995325197
2020-01-13,1,Transition,0.5,0.999999999998181
2020-01-14,1,Transition,0.5,0.999999999998181
2020-01-15,1,Transition,0.5,1.0
2020-01-16,1,Transition,0.5,0.9999999965966708
2020-01-17,1,Transition,0.5,0.999999999994543
2020-01-20,1,Transition,0.5,1.0
2020-01-21,1,Transition,0.5,1.0
2020-01-22,1,Transition,0.5,1.0
2020-01-23,1,Transition,0.5,0.9999999999781721
2020-01-24,1,Transition,0.5,0.9999999998435669
2020-01-27,1,Transition,0.5,0.9999999636129366
2020-01-28,1,Transition,0.5,0.9999705371512665
2020-01-29,1,Transition,0.5,0.9999788169777186
2020-01-30,1,Transition,0.5,0.9999931782254715
2020-01-31,1,Transition,0.5,0.9999901862037838
2020-02-03,1,Transition,0.5,0.9698628794509341
2020-02-04,2,High-vol Rally,0.5,0.9293127236100645
2020-02-05,2,High-vol Rally,0.5,0.9986274474539759
2020-02-06,2,High-vol Rally,0.5,0.9999843609916387
2020-02-07,2,High-vol Rally,0.5,0.9999961416908117
2020-02-10,2,High-vol Rally,0.5,0.9999084987876775
2020-02-11,2,High-vol Rally,0.5,0.9943748065769421
2020-02-12,2,High-vol Rally,0.5,0.9614797753781127
2020-02-13,2,High-vol Rally,0.5,0.9364348295347181
2020-02-14,2,High-vol Rally,0.5,0.9245309655939713
2020-02-17,2,High-vol Rally,0.5,0.9099630624253601
2020-02-18,2,High-vol Rally,0.5,0.867848752637466
2020-02-19,2,High-vol Rally,0.5,0.7108699664666369
2020-02-20,2,High-vol Rally,0.5,0.5568788397535611
2020-02-21,3,Low-vol Rally,0.5,0.6576944376578979
2020-02-24,0,Crisis,0.0,0.8730957314615689
2020-02-25,0,Crisis,0.0,0.8916801419521518
2020-02-26,0,Crisis,0.0,0.9331247713962721
2020-02-27,0,Crisis,0.0,0.999997695264865
2020-02-28,0,Crisis,0.0,1.0
2020-03-02,0,Crisis,0.0,0.9999999513966044
2020-03-03,0,Crisis,0.0,0.9999154410844232
2020-03-04,0,Crisis,0.0,0.999236198186932
2020-03-05,0,Crisis,0.0,0.9972044074835364
2020-03-06,0,Crisis,0.0,0.9999976351292158
2020-03-09,0,Crisis,0.0,1.0
2020-03-10,0,Crisis,0.0,0.999999999998181
2020-03-11,0,Crisis,0.0,1.0
2020-03-12,0,Crisis,0.0,1.0
2020-03-13,0,Crisis,0.0,0.9999999988795025
2020-03-16,0,Crisis,0.0,0.999999999996362
2020-03-17,0,Crisis,0.0,0.9999999966257747
2020-03-18,0,Crisis,0.0,0.9999999999781721
2020-03-19,0,Crisis,0.0,0.9999999959127308
2020-03-20,0,Crisis,0.0,0.999999999998181
2020-03-23,0,Crisis,0.0,0.9999999995889084
2020-03-24,0,Crisis,0.0,1.0
2020-03-25,0,Crisis,0.0,1.0
2020-03-26,0,Crisis,0.0,1.0
2020-03-27,0,Crisis,0.0,1.0
2020-03-30,0,Crisis,0.0,1.0
2020-03-31,0,Crisis,0.0,1.0
2020-04-01,0,Crisis,0.0,1.0
2020-04-02,0,Crisis,0.0,1.0
2020-04-03,0,Crisis,0.0,1.0
2020-04-06,0,Crisis,0.0,0.9999999788597054
2020-04-07,4,High-vol Rally,0.5,0.8152414704374823
2020-04-08,4,High-vol Rally,0.5,0.9981501131483025
2020-04-09,4,High-vol Rally,0.5,0.9999998981911683
2020-04-14,4,High-vol Rally,0.5,1.0
2020-04-15,4,High-vol Rally,0.5,1.0
2020-04-16,4,High-vol Rally,0.5,1.0
2020-04-17,4,High-vol Rally,0.5,1.0
2020-04-20,4,High-vol Rally,0.5,1.0
2020-04-21,4,High-vol Rally,0.5,1.0
2020-04-22,4,High-vol Rally,0.5,1.0
2020-04-23,4,High-vol Rally,0.5,1.0
2020-04-24,4,High-vol Rally,0.5,1.0
2020-04-27,4,High-vol Rally,0.5,1.0
2020-04-28,4,High-vol Rally,0.5,1.0
2020-04-29,4,High-vol Rally,0.5,1.0
2020-04-30,4,High-vol Rally,0.5,1.0
2020-05-01,4,High-vol Rally,0.5,1.0
2020-05-04,4,High-vol Rally,0.5,1.0
2020-05-05,4,High-vol Rally,0.5,1.0
2020-05-06,4,High-vol Rally,0.5,1.0
2020-05-07,4,High-vol Rally,0.5,1.0
2020-05-08,4,High-vol Rally,0.5,1.0
2020-05-11,4,High-vol Rally,0.5,1.0
2020-05-12,4,High-vol Rally,0.5,1.0
2020-05-13,4,High-vol Rally,0.5,1.0
2020-05-14,4,High-vol Rally,0.5,1.0
2020-05-15,4,High-vol Rally,0.5,1.0
2020-05-18,4,High-vol Rally,0.5,1.0
2020-05-19,4,High-vol Rally,0.5,1.0
2020-05-20,4,High-vol Rally,0.5,1.0
2020-05-21,4,High-vol Rally,0.5,1.0
2020-05-22,4,High-vol Rally,0.5,1.0
2020-05-25,4,High-vol Rally,0.5,1.0
2020-05-26,4,High-vol Rally,0.5,1.0
2020-05-27,4,High-vol Rally,0.5,1.0
2020-05-28,4,High-vol Rally,0.5,1.0
2020-05-29,4,High-vol Rally,0.5,1.0
2020-06-01,4,High-vol Rally,0.5,1.0
