Date,regime_skmeans,weight_skmeans
2010-03-17,0,0.0
2010-03-31,0,0.0
2010-04-15,0,0.0
2010-04-29,0,0.0
2010-05-13,0,0.0
2010-05-27,1,1.0
2010-06-11,1,1.0
2010-06-25,1,1.0
2010-07-12,1,1.0
2010-07-26,1,1.0
2010-08-09,1,1.0
2010-08-23,1,1.0
2010-09-07,1,1.0
2010-09-21,0,0.0
2010-10-05,0,0.0
2010-10-19,0,0.0
2010-11-02,0,0.0
2010-11-16,0,0.0
2010-12-01,0,0.0
2010-12-15,0,0.0
2010-12-30,0,0.0
2011-01-13,0,0.0
2011-01-28,0,0.0
2011-02-11,0,0.0
2011-02-28,0,0.0
2011-03-14,0,0.0
2011-03-28,0,0.0
2011-04-11,0,0.0
2011-04-26,0,0.0
2011-05-10,0,0.0
2011-05-24,0,0.0
2011-06-08,0,0.0
2011-06-22,0,0.0
2011-07-07,0,0.0
2011-07-21,0,0.0
2011-08-04,1,1.0
2011-08-18,1,1.0
2011-09-01,1,1.0
2011-09-16,1,1.0
2011-09-30,1,1.0
2011-10-14,1,1.0
2011-10-28,1,1.0
2011-11-11,1,1.0
2011-11-28,1,1.0
2011-12-12,1,1.0
2011-12-27,1,1.0
2012-01-11,1,1.0
2012-01-26,1,1.0
2012-02-09,0,0.0
2012-02-24,0,0.0
2012-03-09,0,0.0
2012-03-23,0,0.0
2012-04-09,0,0.0
2012-04-23,0,0.0
2012-05-07,0,0.0
2012-05-21,0,0.0
2012-06-05,0,0.0
2012-06-19,0,0.0
2012-07-03,0,0.0
2012-07-18,0,0.0
2012-08-01,0,0.0
2012-08-15,0,0.0
2012-08-29,0,0.0
2012-09-13,0,0.0
2012-09-27,0,0.0
2012-10-11,0,0.0
2012-10-25,0,0.0
2012-11-12,0,0.0
2012-11-27,0,0.0
2012-12-11,0,0.0
2012-12-26,0,0.0
2013-01-10,0,0.0
2013-01-25,0,0.0
2013-02-08,0,0.0
2013-02-25,0,0.0
2013-03-11,0,0.0
2013-03-25,0,0.0
2013-04-09,0,0.0
2013-04-23,0,0.0
2013-05-07,0,0.0
2013-05-21,0,0.0
2013-06-05,0,0.0
2013-06-19,0,0.0
2013-07-03,0,0.0
2013-07-18,0,0.0
2013-08-01,0,0.0
2013-08-15,0,0.0
2013-08-29,0,0.0
2013-09-13,0,0.0
2013-09-27,0,0.0
2013-10-11,0,0.0
2013-10-25,0,0.0
2013-11-08,0,0.0
2013-11-22,0,0.0
2013-12-09,0,0.0
2013-12-23,0,0.0
2014-01-08,0,0.0
2014-01-23,0,0.0
2014-02-06,0,0.0
2014-02-21,0,0.0
2014-03-07,0,0.0
2014-03-21,0,0.0
2014-04-04,0,0.0
2014-04-21,0,0.0
2014-05-05,0,0.0
2014-05-19,0,0.0
2014-06-03,0,0.0
2014-06-17,0,0.0
2014-07-01,0,0.0
2014-07-16,0,0.0
2014-07-30,0,0.0
2014-08-13,0,0.0
2014-08-27,0,0.0
2014-09-11,0,0.0
2014-09-25,0,0.0
2014-10-09,0,0.0
2014-10-23,0,0.0
2014-11-06,0,0.0
2014-11-20,0,0.0
2014-12-05,0,0.0
2014-12-19,0,0.0
2015-01-06,0,0.0
2015-01-21,0,0.0
2015-02-04,0,0.0
2015-02-19,0,0.0
2015-03-05,0,0.0
2015-03-19,0,0.0
2015-04-02,0,0.0
2015-04-17,0,0.0
2015-05-01,0,0.0
2015-05-15,0,0.0
2015-06-01,0,0.0
2015-06-15,0,0.0
2015-06-29,0,0.0
2015-07-14,0,0.0
2015-07-28,0,0.0
2015-08-11,0,0.0
2015-08-25,0,0.0
2015-09-09,1,1.0
2015-09-23,1,1.0
2015-10-07,1,1.0
2015-10-21,1,1.0
2015-11-04,1,1.0
2015-11-18,0,0.0
2015-12-03,0,0.0
2015-12-17,0,0.0
2016-01-04,0,0.0
2016-01-19,1,1.0
2016-02-02,1,1.0
2016-02-17,1,1.0
2016-03-02,1,1.0
2016-03-16,1,1.0
2016-03-31,0,0.0
2016-04-14,0,0.0
2016-04-28,0,0.0
2016-05-12,0,0.0
2016-05-26,0,0.0
2016-06-10,0,0.0
2016-06-24,0,0.0
2016-07-11,0,0.0
2016-07-25,0,0.0
2016-08-08,0,0.0
2016-08-22,0,0.0
2016-09-06,0,0.0
2016-09-20,0,0.0
2016-10-04,0,0.0
2016-10-18,0,0.0
2016-11-01,0,0.0
2016-11-15,0,0.0
2016-11-30,0,0.0
2016-12-14,0,0.0
2016-12-29,0,0.0
2017-01-13,0,0.0
2017-01-30,0,0.0
2017-02-13,0,0.0
2017-02-28,0,0.0
2017-03-14,0,0.0
2017-03-28,0,0.0
2017-04-11,0,0.0
2017-04-26,0,0.0
2017-05-10,0,0.0
2017-05-24,0,0.0
2017-06-08,0,0.0
2017-06-22,0,0.0
2017-07-07,0,0.0
2017-07-21,0,0.0
2017-08-04,0,0.0
2017-08-18,0,0.0
2017-09-01,0,0.0
2017-09-18,0,0.0
2017-10-02,0,0.0
2017-10-16,0,0.0
2017-10-30,0,0.0
2017-11-13,0,0.0
2017-11-28,0,0.0
2017-12-12,0,0.0
2017-12-27,0,0.0
2018-01-11,0,0.0
2018-01-26,0,0.0
2018-02-09,0,0.0
2018-02-26,0,0.0
2018-03-12,1,1.0
2018-03-26,1,1.0
2018-04-10,1,1.0
2018-04-24,1,1.0
2018-05-08,1,1.0
2018-05-22,1,1.0
2018-06-06,0,0.0
2018-06-20,0,0.0
2018-07-05,0,0.0
2018-07-19,0,0.0
2018-08-02,0,0.0
2018-08-16,0,0.0
2018-08-30,0,0.0
2018-09-14,0,0.0
2018-09-28,0,0.0
2018-10-12,0,0.0
2018-10-26,0,0.0
2018-11-09,1,1.0
2018-11-26,1,1.0
2018-12-11,1,1.0
2018-12-26,1,1.0
2019-01-10,1,1.0
2019-01-25,1,1.0
2019-02-08,1,1.0
2019-02-25,1,1.0
2019-03-11,0,0.0
2019-03-25,0,0.0
2019-04-08,0,0.0
2019-04-23,0,0.0
2019-05-07,0,0.0
2019-05-21,0,0.0
2019-06-05,0,0.0
2019-06-19,0,0.0
2019-07-03,0,0.0
2019-07-18,0,0.0
2019-08-01,0,0.0
2019-08-15,0,0.0
2019-08-29,0,0.0
2019-09-13,0,0.0
2019-09-27,0,0.0
2019-10-11,1,1.0
2019-10-25,0,0.0
2019-11-08,0,0.0
2019-11-22,0,0.0
2019-12-09,0,0.0
2019-12-23,0,0.0
2020-01-02,0,0.0
2020-01-16,0,0.0
2020-01-31,0,0.0
2020-02-14,0,0.0
2020-03-02,1,1.0
2020-03-16,1,1.0
2020-03-30,1,1.0
2020-04-14,1,1.0
2020-04-28,1,1.0
2020-05-12,1,1.0
2020-05-27,1,1.0
2020-06-10,1,1.0
2020-06-24,1,1.0
2020-07-09,1,1.0
2020-07-23,1,1.0
2020-08-06,1,1.0
2020-08-20,1,1.0
2020-09-03,0,0.0
2020-09-18,1,1.0
2020-10-02,1,1.0
2020-10-16,1,1.0
2020-10-30,1,1.0
2020-11-13,1,1.0
2020-11-30,1,1.0
2020-12-14,1,1.0
2020-12-29,0,0.0
2021-01-13,0,0.0
2021-01-28,0,0.0
2021-02-11,0,0.0
2021-02-26,0,0.0
2021-03-12,1,1.0
2021-03-26,1,1.0
2021-04-12,0,0.0
2021-04-26,0,0.0
2021-05-10,0,0.0
2021-05-24,0,0.0
2021-06-08,0,0.0
2021-06-22,0,0.0
2021-07-07,0,0.0
2021-07-21,0,0.0
2021-08-04,0,0.0
2021-08-18,0,0.0
2021-09-01,0,0.0
2021-09-16,0,0.0
2021-09-30,0,0.0
2021-10-14,0,0.0
2021-10-28,0,0.0
2021-11-11,0,0.0
2021-11-26,0,0.0
2021-12-10,0,0.0
2021-12-27,0,0.0
2022-01-10,0,0.0
2022-01-25,1,1.0
2022-02-08,1,1.0
2022-02-23,1,1.0
2022-03-09,1,1.0
2022-03-23,1,1.0
2022-04-06,1,1.0
2022-04-21,1,1.0
2022-05-05,1,1.0
2022-05-19,1,1.0
2022-06-03,1,1.0
2022-06-17,1,1.0
2022-07-05,1,1.0
2022-07-19,1,1.0
2022-08-02,1,1.0
2022-08-16,1,1.0
2022-08-30,1,1.0
2022-09-14,1,1.0
2022-09-28,1,1.0
2022-10-12,1,1.0
2022-10-26,1,1.0
2022-11-09,1,1.0
2022-11-23,1,1.0
2022-12-08,1,1.0
2022-12-22,1,1.0
2023-01-09,1,1.0
2023-01-24,1,1.0
2023-02-07,1,1.0
2023-02-22,1,1.0
2023-03-08,0,0.0
2023-03-22,0,0.0
2023-04-05,0,0.0
2023-04-20,0,0.0
2023-05-04,0,0.0
2023-05-18,0,0.0
2023-06-02,0,0.0
2023-06-16,0,0.0
2023-07-03,0,0.0
2023-07-18,0,0.0
2023-08-01,0,0.0
2023-08-15,0,0.0
2023-08-29,0,0.0
2023-09-13,0,0.0
2023-09-27,0,0.0
2023-10-11,0,0.0
2023-10-25,0,0.0
2023-11-08,0,0.0
2023-11-22,0,0.0
2023-12-07,0,0.0
2023-12-21,0,0.0
