Date,regime_skmeans,weight_skmeans
2010-03-15,1,1.0
2010-03-29,1,1.0
2010-04-12,1,1.0
2010-04-26,1,1.0
2010-05-10,1,1.0
2010-05-24,1,1.0
2010-06-07,0,0.0
2010-06-21,0,0.0
2010-07-05,0,0.0
2010-07-19,0,0.0
2010-08-02,1,1.0
2010-08-16,1,1.0
2010-08-30,1,1.0
2010-09-13,1,1.0
2010-09-28,1,1.0
2010-10-12,1,1.0
2010-10-26,1,1.0
2010-11-09,1,1.0
2010-11-23,1,1.0
2010-12-07,1,1.0
2010-12-21,1,1.0
2011-01-04,1,1.0
2011-01-18,1,1.0
2011-02-01,1,1.0
2011-02-15,1,1.0
2011-03-01,1,1.0
2011-03-15,0,0.0
2011-03-29,0,0.0
2011-04-12,0,0.0
2011-04-26,0,0.0
2011-05-10,0,0.0
2011-05-24,1,1.0
2011-06-07,1,1.0
2011-06-21,1,1.0
2011-07-05,1,1.0
2011-07-19,1,1.0
2011-08-02,1,1.0
2011-08-16,0,0.0
2011-08-30,0,0.0
2011-09-13,0,0.0
2011-09-27,0,0.0
2011-10-11,0,0.0
2011-10-25,0,0.0
2011-11-08,0,0.0
2011-11-22,0,0.0
2011-12-06,0,0.0
2011-12-20,0,0.0
2012-01-03,0,0.0
2012-01-17,0,0.0
2012-01-31,1,1.0
2012-02-14,1,1.0
2012-02-28,1,1.0
2012-03-13,1,1.0
2012-03-27,1,1.0
2012-04-10,1,1.0
2012-04-24,1,1.0
2012-05-08,1,1.0
2012-05-22,1,1.0
2012-06-05,1,1.0
2012-06-19,1,1.0
2012-07-03,1,1.0
2012-07-17,1,1.0
2012-07-31,1,1.0
2012-08-14,1,1.0
2012-08-28,1,1.0
2012-09-11,1,1.0
2012-09-25,1,1.0
2012-10-09,1,1.0
2012-10-23,1,1.0
2012-11-06,1,1.0
2012-11-20,1,1.0
2012-12-04,1,1.0
2012-12-18,1,1.0
2013-01-02,1,1.0
2013-01-16,1,1.0
2013-01-30,1,1.0
2013-02-14,1,1.0
2013-02-28,1,1.0
2013-03-14,1,1.0
2013-03-28,1,1.0
2013-04-11,1,1.0
2013-04-25,1,1.0
2013-05-09,1,1.0
2013-05-23,1,1.0
2013-06-06,0,0.0
2013-06-20,0,0.0
2013-07-04,0,0.0
2013-07-18,0,0.0
2013-08-01,0,0.0
2013-08-15,0,0.0
2013-08-29,0,0.0
2013-09-12,1,1.0
2013-09-26,1,1.0
2013-10-10,1,1.0
2013-10-24,1,1.0
2013-11-07,1,1.0
2013-11-21,1,1.0
2013-12-05,1,1.0
2013-12-19,1,1.0
2014-01-03,1,1.0
2014-01-17,1,1.0
2014-01-31,1,1.0
2014-02-14,1,1.0
2014-02-28,1,1.0
2014-03-14,1,1.0
2014-03-28,1,1.0
2014-04-11,1,1.0
2014-04-25,1,1.0
2014-05-12,1,1.0
2014-05-26,1,1.0
2014-06-09,1,1.0
2014-06-23,1,1.0
2014-07-07,1,1.0
2014-07-21,1,1.0
2014-08-04,1,1.0
2014-08-18,1,1.0
2014-09-01,1,1.0
2014-09-15,1,1.0
2014-09-29,1,1.0
2014-10-13,1,1.0
2014-10-27,1,1.0
2014-11-10,1,1.0
2014-11-24,1,1.0
2014-12-08,1,1.0
2014-12-22,1,1.0
2015-01-06,1,1.0
2015-01-20,1,1.0
2015-02-03,1,1.0
2015-02-17,1,1.0
2015-03-03,1,1.0
2015-03-17,1,1.0
2015-03-31,1,1.0
2015-04-14,1,1.0
2015-04-28,1,1.0
2015-05-12,1,1.0
2015-05-26,1,1.0
2015-06-09,1,1.0
2015-06-23,1,1.0
2015-07-07,1,1.0
2015-07-21,1,1.0
2015-08-04,1,1.0
2015-08-18,1,1.0
2015-09-01,0,0.0
2015-09-15,0,0.0
2015-09-29,0,0.0
2015-10-13,0,0.0
2015-10-27,0,0.0
2015-11-10,0,0.0
2015-11-24,1,1.0
2015-12-08,1,1.0
2015-12-22,1,1.0
2016-01-06,1,1.0
2016-01-20,0,0.0
2016-02-03,0,0.0
2016-02-17,0,0.0
2016-03-02,0,0.0
2016-03-16,0,0.0
2016-03-30,0,0.0
2016-04-13,0,0.0
2016-04-27,1,1.0
2016-05-11,1,1.0
2016-05-25,1,1.0
2016-06-08,1,1.0
2016-06-22,1,1.0
2016-07-06,0,0.0
2016-07-20,0,0.0
2016-08-03,0,0.0
2016-08-17,0,0.0
2016-08-31,1,1.0
2016-09-14,1,1.0
2016-09-28,1,1.0
2016-10-12,1,1.0
2016-10-26,1,1.0
2016-11-09,1,1.0
2016-11-23,1,1.0
2016-12-07,1,1.0
2016-12-21,1,1.0
2017-01-04,1,1.0
2017-01-18,1,1.0
2017-02-01,1,1.0
2017-02-15,1,1.0
2017-03-01,1,1.0
2017-03-15,1,1.0
2017-03-29,1,1.0
2017-04-12,1,1.0
2017-04-26,1,1.0
2017-05-11,1,1.0
2017-05-25,1,1.0
2017-06-08,1,1.0
2017-06-22,1,1.0
2017-07-06,1,1.0
2017-07-20,1,1.0
2017-08-03,1,1.0
2017-08-17,1,1.0
2017-08-31,1,1.0
2017-09-14,1,1.0
2017-09-28,1,1.0
2017-10-12,1,1.0
2017-10-26,1,1.0
2017-11-09,1,1.0
2017-11-23,1,1.0
2017-12-07,1,1.0
2017-12-21,1,1.0
2018-01-05,1,1.0
2018-01-19,1,1.0
2018-02-02,1,1.0
2018-02-16,1,1.0
2018-03-02,1,1.0
2018-03-16,1,1.0
2018-03-30,0,0.0
2018-04-13,0,0.0
2018-04-27,1,1.0
2018-05-11,1,1.0
2018-05-25,1,1.0
2018-06-08,1,1.0
2018-06-22,1,1.0
2018-07-06,1,1.0
2018-07-20,1,1.0
2018-08-03,1,1.0
2018-08-17,1,1.0
2018-08-31,1,1.0
2018-09-14,1,1.0
2018-09-28,1,1.0
2018-10-12,1,1.0
2018-10-26,1,1.0
2018-11-09,0,0.0
2018-11-23,0,0.0
2018-12-07,0,0.0
2018-12-21,0,0.0
2019-01-07,0,0.0
2019-01-21,1,1.0
2019-02-04,1,1.0
2019-02-18,1,1.0
2019-03-04,1,1.0
2019-03-18,1,1.0
2019-04-01,1,1.0
2019-04-15,1,1.0
2019-04-29,1,1.0
2019-05-14,1,1.0
2019-05-28,1,1.0
2019-06-11,1,1.0
2019-06-25,1,1.0
2019-07-09,1,1.0
2019-07-23,1,1.0
2019-08-06,1,1.0
2019-08-20,1,1.0
2019-09-03,1,1.0
2019-09-17,1,1.0
2019-10-01,1,1.0
2019-10-15,1,1.0
2019-10-29,1,1.0
2019-11-12,1,1.0
2019-11-26,1,1.0
2019-12-10,1,1.0
2019-12-24,1,1.0
2020-01-02,1,1.0
2020-01-16,1,1.0
2020-01-30,1,1.0
2020-02-13,1,1.0
2020-02-27,1,1.0
2020-03-12,0,0.0
2020-03-26,0,0.0
2020-04-09,0,0.0
2020-04-23,0,0.0
2020-05-07,0,0.0
2020-05-21,0,0.0
2020-06-04,0,0.0
2020-06-18,0,0.0
2020-07-02,0,0.0
2020-07-16,0,0.0
2020-07-30,0,0.0
2020-08-13,0,0.0
2020-08-27,1,1.0
2020-09-10,1,1.0
2020-09-24,1,1.0
2020-10-09,1,1.0
2020-10-23,1,1.0
2020-11-06,1,1.0
2020-11-20,1,1.0
2020-12-04,1,1.0
2020-12-18,1,1.0
2021-01-04,1,1.0
2021-01-18,1,1.0
2021-02-01,1,1.0
2021-02-15,1,1.0
2021-03-01,0,0.0
2021-03-15,0,0.0
2021-03-29,0,0.0
2021-04-12,1,1.0
2021-04-26,0,0.0
2021-05-10,1,1.0
2021-05-24,1,1.0
2021-06-07,1,1.0
2021-06-21,1,1.0
2021-07-05,1,1.0
2021-07-19,1,1.0
2021-08-02,1,1.0
2021-08-16,1,1.0
2021-08-30,1,1.0
2021-09-13,1,1.0
2021-09-27,1,1.0
2021-10-11,1,1.0
2021-10-25,1,1.0
2021-11-08,1,1.0
2021-11-22,1,1.0
2021-12-06,1,1.0
2021-12-20,1,1.0
2022-01-03,1,1.0
2022-01-17,1,1.0
2022-01-31,0,0.0
2022-02-14,1,1.0
2022-02-28,0,0.0
2022-03-14,0,0.0
2022-03-28,0,0.0
2022-04-11,0,0.0
2022-04-25,0,0.0
2022-05-09,0,0.0
2022-05-23,0,0.0
2022-06-06,0,0.0
2022-06-20,0,0.0
2022-07-04,0,0.0
2022-07-18,0,0.0
2022-08-01,0,0.0
2022-08-15,0,0.0
2022-08-29,1,1.0
2022-09-12,1,1.0
2022-09-26,1,1.0
2022-10-10,0,0.0
2022-10-24,0,0.0
2022-11-07,0,0.0
2022-11-21,0,0.0
2022-12-05,0,0.0
2022-12-19,0,0.0
2023-01-02,0,0.0
2023-01-16,0,0.0
2023-01-30,1,1.0
2023-02-13,1,1.0
2023-02-27,1,1.0
2023-03-13,1,1.0
2023-03-27,1,1.0
2023-04-10,1,1.0
2023-04-24,1,1.0
2023-05-08,1,1.0
2023-05-22,1,1.0
2023-06-05,1,1.0
2023-06-19,1,1.0
2023-07-03,1,1.0
2023-07-17,1,1.0
2023-07-31,1,1.0
2023-08-14,1,1.0
2023-08-28,1,1.0
2023-09-11,1,1.0
2023-09-25,1,1.0
2023-10-09,1,1.0
2023-10-23,1,1.0
2023-11-06,0,0.0
2023-11-20,0,0.0
2023-12-04,0,0.0
2023-12-18,0,0.0
