Date,regime_skmeans,weight_skmeans
2010-03-15,0,0.0
2010-03-29,0,0.0
2010-04-14,0,0.0
2010-04-28,0,0.0
2010-05-12,1,1.0
2010-05-26,1,1.0
2010-06-09,1,1.0
2010-06-23,1,1.0
2010-07-07,1,1.0
2010-07-21,1,1.0
2010-08-04,1,1.0
2010-08-18,1,1.0
2010-09-01,1,1.0
2010-09-15,0,0.0
2010-09-29,0,0.0
2010-10-13,0,0.0
2010-10-27,0,0.0
2010-11-10,0,0.0
2010-11-24,0,0.0
2010-12-08,0,0.0
2010-12-22,0,0.0
2011-01-05,0,0.0
2011-01-19,0,0.0
2011-02-02,0,0.0
2011-02-16,0,0.0
2011-03-02,0,0.0
2011-03-16,0,0.0
2011-03-30,0,0.0
2011-04-13,0,0.0
2011-04-29,0,0.0
2011-05-13,0,0.0
2011-05-27,0,0.0
2011-06-10,0,0.0
2011-06-24,0,0.0
2011-07-08,0,0.0
2011-07-22,0,0.0
2011-08-05,1,1.0
2011-08-19,1,1.0
2011-09-02,1,1.0
2011-09-16,1,1.0
2011-09-30,1,1.0
2011-10-14,1,1.0
2011-10-28,1,1.0
2011-11-11,1,1.0
2011-11-25,1,1.0
2011-12-09,1,1.0
2011-12-23,1,1.0
2012-01-09,1,1.0
2012-01-23,1,1.0
2012-02-06,1,1.0
2012-02-20,0,0.0
2012-03-05,0,0.0
2012-03-19,0,0.0
2012-04-02,0,0.0
2012-04-18,0,0.0
2012-05-02,1,1.0
2012-05-16,1,1.0
2012-05-30,1,1.0
2012-06-13,1,1.0
2012-06-27,1,1.0
2012-07-11,1,1.0
2012-07-25,1,1.0
2012-08-08,1,1.0
2012-08-22,1,1.0
2012-09-05,0,0.0
2012-09-19,0,0.0
2012-10-03,0,0.0
2012-10-17,0,0.0
2012-10-31,0,0.0
2012-11-14,0,0.0
2012-11-28,0,0.0
2012-12-12,0,0.0
2012-12-28,0,0.0
2013-01-14,0,0.0
2013-01-28,0,0.0
2013-02-11,0,0.0
2013-02-25,0,0.0
2013-03-11,0,0.0
2013-03-25,0,0.0
2013-04-10,0,0.0
2013-04-24,0,0.0
2013-05-08,0,0.0
2013-05-22,0,0.0
2013-06-05,0,0.0
2013-06-19,0,0.0
2013-07-03,0,0.0
2013-07-17,0,0.0
