n_regimes,use_pca,pca_variance,return_periods,vol_windows,silhouette,sharpe,combined_score
2,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.3403,0.4468,0.2446
2,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.354,0.3937,0.2426
2,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.3293,0.4468,0.2391
2,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.3144,0.4556,0.2332
2,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.3353,0.3334,0.2232
2,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.3354,0.3293,0.2226
2,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.3216,0.3431,0.218
2,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.3199,0.3347,0.2157
2,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.3061,0.3188,0.2062
3,True,0.95,"[1, 5, 21]","[21, 63]",0.301,0.3273,0.205
3,True,0.9,"[1, 5, 21]","[21, 63]",0.3101,0.2998,0.205
3,False,N/A,"[1, 5, 21]","[21, 63]",0.2837,0.2925,0.1906
2,True,0.9,"[1, 5, 21]","[21, 63]",0.3207,0.1365,0.1831
3,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.3144,0.1538,0.1828
2,True,0.95,"[1, 5, 21]","[21, 63]",0.3134,0.1365,0.1794
3,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.2994,0.1707,0.1782
2,False,N/A,"[1, 5, 21]","[21, 63]",0.2962,0.1365,0.1709
3,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.2826,0.1707,0.1697
4,True,0.9,"[1, 5, 21]","[21, 63]",0.2578,0.2228,0.1661
3,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.3153,0.0302,0.1627
3,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.296,0.0473,0.1559
4,True,0.95,"[1, 5, 21]","[21, 63]",0.2493,0.1867,0.1558
5,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.243,0.1946,0.1539
5,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.2514,0.1532,0.1512
3,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.3164,-0.0505,0.1498
3,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.2804,0.0473,0.1481
5,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.2371,0.1745,0.1476
5,True,0.9,"[1, 5, 21]","[21, 63]",0.2486,0.1356,0.1469
4,False,N/A,"[1, 5, 21]","[21, 63]",0.2295,0.1911,0.1466
5,True,0.95,"[1, 5, 21]","[21, 63]",0.2393,0.1452,0.1439
4,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.2279,0.1787,0.1437
5,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.2267,0.1807,0.1435
3,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.3034,-0.0579,0.142
5,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.2076,0.2256,0.1414
5,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.2183,0.1745,0.1382
3,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.2865,-0.0485,0.1352
5,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.2179,0.1452,0.1331
5,False,N/A,"[1, 5, 21]","[21, 63]",0.2169,0.1429,0.1322
4,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.251,0.0323,0.1309
5,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.2393,0.0548,0.1288
4,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.2393,0.0391,0.1262
4,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.2362,0.0401,0.1248
5,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.2011,0.1452,0.1247
4,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.2153,0.0954,0.1236
4,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.2221,0.0391,0.1176
4,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.1993,0.1018,0.1166
4,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.2228,-0.004,0.1108
4,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.2073,0.0221,0.1073
