n_regimes,use_pca,pca_variance,return_periods,vol_windows,silhouette,sharpe,combined_score
3,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.2141,0.6825,0.2208
3,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.2,0.6872,0.2145
3,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.1915,0.6954,0.2116
3,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.2077,0.5299,0.1921
3,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.1976,0.5374,0.1883
3,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.1873,0.5269,0.1815
4,True,0.95,"[1, 5, 21]","[21, 63]",0.1571,0.5869,0.1764
4,True,0.9,"[1, 5, 21]","[21, 63]",0.1667,0.5367,0.1728
4,False,N/A,"[1, 5, 21]","[21, 63]",0.1476,0.4955,0.1564
4,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.15,0.466,0.1527
4,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.1595,0.3776,0.1427
3,True,0.9,"[1, 5, 21]","[21, 63]",0.1761,0.3026,0.1385
4,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.1608,0.3466,0.1382
4,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.1462,0.3817,0.1367
3,True,0.95,"[1, 5, 21]","[21, 63]",0.1664,0.3099,0.1348
4,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.1378,0.3803,0.1323
3,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.1871,0.2276,0.1315
3,False,N/A,"[1, 5, 21]","[21, 63]",0.1581,0.3026,0.1295
3,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.1765,0.2276,0.1262
4,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.1406,0.3001,0.1203
3,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.1669,0.2018,0.1171
5,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.1416,0.244,0.1115
5,True,0.9,"[1, 5, 21]","[21, 63]",0.1472,0.1513,0.0988
4,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.1539,0.1229,0.0974
4,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.1344,0.1639,0.0945
5,True,0.95,"[1, 5, 21]","[21, 63]",0.1367,0.15,0.0934
5,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.1294,0.1687,0.0928
5,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.127,0.1746,0.0926
4,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.1445,0.1135,0.0912
5,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.1183,0.1913,0.091
5,False,N/A,"[1, 5, 21]","[21, 63]",0.1282,0.1482,0.0888
2,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.2513,-0.2297,0.0874
5,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.1397,0.1031,0.087
5,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.12,0.1589,0.0865
2,True,0.9,"[1, 5, 21]","[21, 63]",0.2252,-0.1916,0.0807
2,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.2388,-0.237,0.0799
2,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.2388,-0.25,0.0777
2,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.2526,-0.2992,0.0764
2,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.2297,-0.237,0.0754
2,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.2285,-0.25,0.0726
5,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.1255,0.0564,0.0721
5,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.1452,-0.0051,0.0717
2,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.2429,-0.2992,0.0716
2,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.2186,-0.25,0.0676
2,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.2323,-0.2992,0.0663
5,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.1354,-0.0292,0.0628
2,True,0.95,"[1, 5, 21]","[21, 63]",0.2157,-0.2811,0.061
2,False,N/A,"[1, 5, 21]","[21, 63]",0.2084,-0.2811,0.0573
