n_regimes,use_pca,pca_variance,return_periods,vol_windows,silhouette,sharpe,combined_score
4,True,0.9,"[1, 5, 21]","[21, 63]",0.2058,0.7786,0.2326
4,True,0.95,"[1, 5, 21]","[21, 63]",0.1912,0.7877,0.2269
3,True,0.9,"[1, 5, 21]","[21, 63]",0.2563,0.583,0.2253
3,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.2398,0.6274,0.2245
3,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.2274,0.6353,0.2196
4,False,N/A,"[1, 5, 21]","[21, 63]",0.1767,0.7785,0.2181
3,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.2532,0.5482,0.218
3,True,0.95,"[1, 5, 21]","[21, 63]",0.2431,0.5722,0.2169
3,False,N/A,"[1, 5, 21]","[21, 63]",0.2246,0.6124,0.2144
5,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.2072,0.6489,0.2118
5,True,0.9,"[1, 5, 21]","[21, 63]",0.1987,0.645,0.2068
5,True,0.95,"[1, 5, 21]","[21, 63]",0.1843,0.6492,0.2004
5,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.1893,0.6335,0.2002
5,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.1901,0.6252,0.1993
5,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.1752,0.6536,0.1965
5,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.1733,0.6405,0.1934
5,False,N/A,"[1, 5, 21]","[21, 63]",0.1703,0.633,0.1906
5,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.1615,0.6252,0.185
5,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.1832,0.5355,0.1808
5,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.1692,0.5549,0.1771
3,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.2522,0.2864,0.1739
3,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.2591,0.2394,0.1695
5,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.1591,0.5277,0.1675
3,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.2346,0.2903,0.1657
3,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.2414,0.2507,0.1625
4,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.1871,0.404,0.1609
3,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.2218,0.2924,0.1596
4,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.1733,0.4321,0.1587
4,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.1621,0.4449,0.1552
2,True,0.9,"[1, 5, 21, 63]","[21, 63]",0.2722,0.1073,0.154
3,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.2265,0.2394,0.1532
4,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.2146,0.2338,0.1463
4,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.1975,0.2569,0.1416
4,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.1824,0.2439,0.1319
4,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.1807,0.227,0.1282
2,True,0.95,"[1, 5, 21]","[21, 63]",0.259,-0.0196,0.1263
4,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.1687,0.2468,0.1255
4,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.1962,0.1641,0.1254
2,True,0.9,"[1, 5, 21]","[21, 63]",0.272,-0.0936,0.1204
2,False,N/A,"[1, 5, 21, 63]","[21, 63]",0.2501,-0.0672,0.1139
2,True,0.95,"[1, 5, 21, 63]","[21, 63]",0.2613,-0.1305,0.1089
2,False,N/A,"[1, 5, 21]","[21, 63]",0.2464,-0.1145,0.1041
2,True,0.9,"[1, 5, 21]","[10, 21, 63]",0.292,-0.3272,0.0915
2,True,0.95,"[1, 5, 21]","[10, 21, 63]",0.2778,-0.3272,0.0843
2,False,N/A,"[1, 5, 21]","[10, 21, 63]",0.2648,-0.3272,0.0779
2,True,0.9,"[1, 5, 21, 63]","[10, 21, 63]",0.3002,-0.5111,0.0649
2,True,0.95,"[1, 5, 21, 63]","[10, 21, 63]",0.2849,-0.5111,0.0573
2,False,N/A,"[1, 5, 21, 63]","[10, 21, 63]",0.2736,-0.5139,0.0511
